#BM,threads, p8tm 2 0 1, Total Commits, GL Commits, HTM conflict aborts, HTM capacity aborts, ROT conflict aborts, ROT capacity aborts, p8tm-si 0 2 1, Total Commits, GL Commits, HTM conflict aborts, HTM capacity aborts, ROT conflict aborts, ROT capacity aborts
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,1,46392,231970,111684,0,111684,0,0,45387,226945,1455,0,0,0,970
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,2,86311,431572,242331,187904,209994,0,0,91106,455551,157191,0,0,489959,1960
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,3,103124,515640,368918,459118,205589,0,0,103782,518932,130939,0,0,361570,4004
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,4,106922,534632,454273,758686,109436,0,0,116755,583797,128159,0,0,343870,4802
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,5,89415,447105,396512,764929,25192,0,0,115076,575417,116057,0,0,305227,5035
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,6,76905,384554,349770,689855,7507,0,0,113703,568546,112003,0,0,290808,4839
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,7,77361,386833,354189,702877,3689,0,0,118335,591713,121616,0,0,308083,5146
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,8,77815,389102,357376,710866,1954,0,0,117293,586506,128465,0,0,315440,5544
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,9,80918,404618,371994,740610,1232,0,0,123289,616488,141158,0,0,341034,5244
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,10,76725,383656,352841,703093,636,0,0,117631,588196,138917,0,0,329365,5395
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,11,75341,376743,346109,684378,1477,0,0,107050,535294,136627,0,0,302824,12375
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,12,77010,385083,354125,696242,2189,0,0,103830,519191,140047,0,0,296700,17443
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,13,80906,404574,372209,728588,2430,0,0,101984,509967,141719,0,0,292468,20811
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,14,80179,400933,368708,719448,1606,0,0,98503,492565,140567,0,0,283665,23510
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,15,80723,403660,371754,723836,1433,0,0,100237,501234,146168,0,0,288810,27296
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,16,80086,400483,368623,715588,2044,0,0,101444,507274,149167,0,0,289899,29937
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,17,80115,400630,368555,714668,2248,0,0,100553,502824,148985,0,0,288302,30496
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,18,82394,412022,379257,734573,1950,0,0,98534,492733,146741,0,0,281310,31393
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,19,82229,411207,377891,730825,1676,0,0,104918,524653,157839,0,0,300089,34819
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,20,81893,409515,375872,728174,1672,0,0,100982,504975,152339,0,0,287611,34865
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,21,79027,395197,363638,702098,2111,0,0,95920,479660,145466,0,0,272848,34837
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,22,77847,389285,358089,690717,2090,0,0,94046,470292,143902,0,0,266325,36323
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,23,76439,382256,351440,678750,1624,0,0,92374,461936,142205,0,0,261036,37424
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,24,75874,379434,349253,673624,1737,0,0,89950,449814,139105,0,0,251532,38576
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,25,73622,368182,338599,652636,1873,0,0,89253,446338,138944,0,0,248721,40034
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,26,74285,371490,342137,657980,2346,0,0,87047,435309,135561,0,0,241443,39686
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,27,72787,363993,335127,644661,1788,0,0,85421,427170,133546,0,0,236455,40063
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,28,71802,359074,330665,636886,1363,0,0,87870,439429,137658,0,0,243536,41461
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,29,71206,356103,327516,630162,1528,0,0,86291,431529,135368,0,0,238461,41426
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,30,71515,357653,329761,633842,1755,0,0,83836,419260,132177,0,0,229655,42096
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,31,70080,350468,322432,618432,1854,0,0,83921,419680,133402,0,0,231577,42688
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,32,69757,348855,320921,615123,2138,0,0,82120,410690,132188,0,0,222186,45774
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,33,68470,342420,315280,604437,1309,0,0,81604,408104,131705,0,0,220881,45944
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,34,68251,341339,314134,600575,1602,0,0,79999,400078,130094,0,0,217321,46004
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,35,68181,340985,313948,598805,1997,0,0,81770,408940,133132,0,0,222004,47529
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,36,66695,333549,306083,584540,1596,0,0,79830,399242,130387,0,0,214444,47939
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,37,67498,337576,310102,590635,1649,0,0,80867,404414,132181,0,0,218173,48406
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,38,66790,334041,306677,582801,1783,0,0,80745,403814,132610,0,0,217215,49542
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,39,67604,338099,310887,589859,2148,0,0,81003,405105,133316,0,0,218172,49830
tpcc-t5-w4-m4-s4-d4-o4-p43-r45,40,68273,341462,314647,596503,2000,0,0,79132,395759,130954,0,0,212381,50028
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,1,36436,182190,90949,0,90949,0,0,35744,178727,1137,0,0,0,753
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,2,68039,340210,191201,153520,162733,0,0,70868,354356,111239,0,0,334053,1713
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,3,83480,417428,298434,388431,158203,0,0,81198,406012,81053,0,0,228259,3209
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,4,86516,432602,367712,640587,74436,0,0,98487,492458,93590,0,0,258004,3840
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,5,71684,358444,318767,619177,16655,0,0,99291,496483,81759,0,0,219442,4433
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,6,57054,285294,259404,511823,5272,0,0,96374,481904,75834,0,0,203128,3755
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,7,59124,295640,270896,537971,2372,0,0,106496,532514,72928,0,0,192793,5408
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,8,60460,302327,277766,552775,1193,0,0,113987,569972,71338,0,0,190444,5627
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,9,63412,317090,291572,580893,596,0,0,122294,611510,73793,0,0,196431,6216
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,10,60405,302070,277792,553586,296,0,0,127428,637187,70885,0,0,189663,6723
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,11,61852,309293,284771,563262,1120,0,0,112799,564038,72653,0,0,160981,17737
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,12,62443,312241,287066,565114,1358,0,0,110121,550647,77732,0,0,149272,28804
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,13,63536,317710,292364,573701,945,0,0,106093,530529,82586,0,0,144981,34726
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,14,63856,319323,293297,572273,1272,0,0,102241,511259,84770,0,0,140603,38746
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,15,65843,329261,303183,589891,1023,0,0,102865,514378,90757,0,0,142033,44367
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,16,66999,335037,308665,599672,1374,0,0,100309,501598,92696,0,0,137820,47309
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,17,67628,338191,311435,604407,1183,0,0,100065,500385,93388,0,0,134243,50032
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,18,66859,334343,307730,596886,949,0,0,97520,487664,93546,0,0,131373,50887
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,19,68290,341503,313861,607271,932,0,0,100733,503726,99132,0,0,136554,54626
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,20,68570,342899,315229,609338,798,0,0,101148,505822,100608,0,0,135533,56565
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,21,67436,337244,310422,600984,990,0,0,94643,473277,96129,0,0,125784,55277
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,22,67816,339129,312130,603877,1037,0,0,90449,452306,94446,0,0,117721,56432
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,23,65225,326192,300222,580290,1144,0,0,89449,447323,95501,0,0,117781,57462
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,24,64307,321585,295955,571721,935,0,0,85517,427658,93689,0,0,112006,57460
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,25,63009,315106,289526,559226,851,0,0,83146,415808,93365,0,0,107883,58775
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,26,63128,315702,290536,560985,779,0,0,84460,422365,96559,0,0,111462,60324
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,27,62252,311324,286349,552108,923,0,0,83035,415256,94296,0,0,105093,61288
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,28,62695,313543,288660,556417,985,0,0,81858,409376,94164,0,0,104965,61007
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,29,61674,308436,284125,547481,1508,0,0,82378,411973,95553,0,0,105683,62291
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,30,61024,305181,280784,540344,1421,0,0,81334,406755,94943,0,0,104072,62400
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,31,61579,307967,283527,544913,1069,0,0,80314,401671,94842,0,0,102643,63048
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,32,59882,299486,275428,528116,1111,0,0,76286,381500,95042,0,0,91199,67564
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,33,59849,299320,276023,529784,1202,0,0,75480,377484,95005,0,0,93785,66161
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,34,58728,293711,270240,517838,805,0,0,74741,373795,94946,0,0,90804,67564
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,35,59285,296516,272767,521370,1017,0,0,75736,378755,97709,0,0,92567,69743
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,36,59200,296101,273011,521230,1026,0,0,75147,375816,96839,0,0,90467,70071
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,37,59561,297889,274682,523610,1151,0,0,75272,376458,98595,0,0,93034,70483
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,38,58592,293036,269961,514056,1224,0,0,73471,367438,96094,0,0,89579,69576
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,39,59771,298939,275302,523266,1451,0,0,74225,371219,97597,0,0,90209,71017
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,40,60205,301136,277477,527622,961,0,0,74342,371803,98654,0,0,91505,71651
